Column1;Node1;Sign;Node2;weight_subset1;weight_subset2;weight_subset3;weight_subset4;weight_subset5;weight_subset6;weight_subset7;weight_subset8;weight_subset9;Weightsums
1;ADNP;-1;CTCF;0;100;0;0;0;66;0;0;0;166
2;AHR;1;AR;0;0;100;0;0;0;100;100;100;400
3;AHR;1;ESR1;0;0;0;100;0;0;0;0;0;100
4;AIP;1;AHR;100;100;100;100;0;100;100;0;0;600
5;AR;1;EGFR;0;0;0;0;0;0;0;49;0;49
6;ARNT;1;AHR;0;0;0;0;100;0;0;100;100;300
7;ATE1;-1;HSPA5;0;0;5;0;0;0;14;0;0;19
8;ATF2;1;ATF3;100;100;100;100;0;0;0;0;100;500
9;BAG4;-1;TNFRSF1A;0;0;0;0;0;0;0;0;8;8
10;BHLHE40;-1;ARNTL;100;0;0;0;0;0;0;0;0;100
11;CADPS;1;STX1A;0;0;0;45;0;0;0;13;0;58
12;CADPS2;1;STX1A;0;0;0;35;0;0;0;30;1;66
13;CAMK1;1;ATF1;47;0;0;0;0;0;34;8;0;89
14;CAMK1;1;CREB1;47;0;0;0;0;0;34;8;0;89
15;CCNE2_CDK2;1;E2F5;0;0;0;0;0;0;16;0;0;16
16;CDK1;-1;CUX1;100;100;100;100;100;100;100;100;100;900
17;CDK1;-1;RB1;0;0;0;0;100;0;0;0;0;100
18;CDK1;1;AR;100;0;100;100;0;0;0;100;0;400
19;CDK1;1;CHEK1;0;100;1;1;0;100;100;100;100;502
20;CDK1;1;TP53;100;0;100;0;100;0;0;100;0;400
21;CDK2;-1;PAK1;48;0;0;0;0;0;43;0;0;91
22;CDK2;-1;SMAD4;1;0;0;0;0;0;36;0;0;37
23;CDK2;1;CHEK1;0;0;0;0;0;0;43;0;0;43
24;CDK2;1;E2F5;48;0;0;0;0;0;43;0;0;91
25;CDK2;1;TP53;48;0;0;0;0;0;0;0;0;48
26;CDK20;1;CDK2;17;0;0;0;0;0;7;0;0;24
27;CDK2AP1;-1;CDK2;7;0;0;0;0;0;0;0;0;7
28;CDK5;-1;RB1;0;0;0;100;0;0;0;100;100;300
29;CDK5;1;AR;0;0;0;0;0;0;0;0;100;100
30;CDK5;1;CLOCK;0;0;0;100;0;0;0;100;100;300
31;CDK5;1;TP53;0;0;0;0;0;0;0;0;100;100
32;CDK5RAP3;-1;CHEK1;0;0;0;0;100;0;0;0;0;100
33;CDK5RAP3;1;CDK1;0;0;100;0;100;100;0;100;0;400
34;CDKN3;-1;CDK2;17;0;0;0;0;0;1;0;0;18
35;CEBPB;1;CREB1;100;100;0;100;100;100;100;100;100;800
36;CEBPB;1;E2F4;100;100;0;100;100;0;100;0;100;600
37;CEBPE;1;CEBPG;100;100;100;100;100;100;100;100;100;900
