"","Node1","Sign","Node2","Weight"
"1","AHR",1,"AR",100
"2","AIP",1,"AHR",100
"3","ATE1",-1,"HSPA5",5
"4","ATF2",1,"ATF3",100
"5","CDK1",-1,"CUX1",100
"6","CDK1",1,"AR",100
"7","CDK1",1,"TP53",100
"8","CDK5RAP3",1,"CDK1",100
"9","CEBPE",1,"CEBPG",100
"10","CHP1",1,"PAK1",100
"11","CREB1",1,"TP53",100
"12","CREBZF",1,"ATF4",100
"13","CREM",-1,"CREB1",100
"14","DTX1",-1,"ASCL1",100
"15","DUSP14",-1,"MAPK14",23
"16","DUSP2",1,"MAPK14",64
"17","DUSP26",-1,"MAPK14",18
"18","DUSP7",-1,"MAPK14",3
"19","DUSP8",1,"MAPK14",7
"20","DUSP9",-1,"MAPK14",2
"21","EGR1",-1,"AR",100
"22","EID2",-1,"SMAD3_SMAD4",61
"23","FBXO22",-1,"BACH1",100
"24","FHL5",1,"CREM",100
"25","GABPB1",-1,"HCFC1",100
"26","HCFC1",1,"CREB3",100
"27","HDLBP",1,"CTCF",100
"28","HEY2",-1,"ARNT",99
"29","HSPA5",-1,"ATF6",11
"30","HYAL2",1,"SMAD4",62
"31","IGBP1",1,"PPP2CA",44
"32","ITCH",-1,"DTX1",100
"33","ITCH",1,"SMAD2",15
"34","LCMT1",1,"PPP2CB",11
"35","MAP3K6",1,"MAPK14",17
"36","MAPK14",-1,"CDX2",44
"37","MAPK14",-1,"CREB1",45
"38","MAPK14",1,"AR",44
"39","MAPK14",1,"ATF2",45
"40","MAPK14",1,"ATF6",44
"41","MAPK14",1,"ELK1",44
"42","MAPK14",1,"ELK4",45
"43","MAPK14",1,"TP53",44
"44","MBTPS2",1,"CREB3L1",100
"45","N4BP1",-1,"ITCH",100
"46","NAB1",-1,"EGR1",61
"47","NAB2",-1,"EGR1",39
"48","NUP214",1,"SMAD2",9
"49","NUP214",1,"SMAD3_SMAD4",51
"50","NUP214",1,"SMAD4",12
"51","PAK1",1,"ELF3",100
"52","PCSK7",-1,"CEBPA",45
"53","PCSK7",1,"ATF6",45
"54","PCSK7",1,"ELK4",55
"55","PCSK7",1,"PPP2CA",45
"56","PDHX",-1,"CDX2",56
"57","PPP2CA",-1,"ELF1",89
"58","PPP2CA",1,"RBL2",85
"59","PPP2CA",1,"SMAD2",4
"60","PPP2CB",-1,"ELF1",11
"61","PRPF4B",1,"ELK1",46
"62","PTP4A1",-1,"ATF7",39
"63","RBL2",1,"E2F4",85
"64","RORB",1,"ARNTL",100
"65","SEC61A1_SEC61A2_SEC61B_SEC61G",1,"HSPA5",6
"66","SIM2",1,"ARNT",54
"67","SMAD2",1,"CREB1",15
"68","SMAD2",1,"E2F4",15
"69","SMAD3_SMAD4",-1,"CEBPA",100
"70","SMAD3_SMAD4",-1,"CEBPB",100
"71","SMAD3_SMAD4",-1,"CEBPD",100
"72","SMAD4",1,"ATF1",100
"73","SMAD4",1,"ATF2",100
"74","SMAD4",1,"E2F5",100
"75","SNIP1",1,"SMAD4",24
"76","TAF12",1,"ATF7",61
"77","TAOK2",1,"ELK1",10
"78","TFDP2",1,"E2F2",100
"79","TGIF1",-1,"SMAD4",22
"80","TP53",1,"ARID3A",100
"81","TP53",1,"BHLHE40",100
"82","TRIM33",1,"SMAD4",24
"83","USP9X",1,"SMAD4",17
"84","ZNF521",-1,"EBF1",100
